Job Title,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
BIE Manager,"Amazon seeks an experienced Business Intelligence Manager to join the RBS (Retail Business Services) team. Our mission is to improve customer shopping experience with Amazon by independently auditing Amazon catalog to identify CX defects and fixing defects at scale. We screen millions ASINs every day. We develop ML models to improve CX.
Our team of high caliber software developers, applied scientists, data engineers, product managers and Business Intelligence Engineers use rigorous ML and deep learning approaches to ensure that we identify & fix the right catalog defect to ensure the good shopping experience for our customers.
As a BI Manager you will be leading a team of Business Intelligence Engineers and will play a thought leadership role in our team the team will look to you for advice on data and business issues facing them to create value for our customers. You work very efficiently and routinely deliver the right value. You will have a company-wide view of the BI solutions that you build, and you will consistently think in terms of automating or expanding the results company-wide. You will be working in one of the world's largest and most complex data warehouse environments. You will design, implement and support scalable data solutions to integrate with multi heterogeneous data sources, aggregate and retrieve data in a fast and safe mode, curate data that can be used in reporting, analysis, machine learning models and ad-hoc data requests. You will be exposed to cutting edge AWS big data technologies. You should have excellent business and communication skills to be able to work with business owners and Tech leaders to gather infrastructure requirements, build up data pipelines and data-sets to meet business needs. You stay abreast of emerging technologies, investigating and implementing where appropriate.
This high impact role will have an opportunity to lead a team to help design and build our data needs and work with emerging technologies such as Redshift and associated AWS cloud services while driving business intelligence solutions end-to-end: business requirements, workflow instrumentation, data modeling and ETL. You should be expert at implementing and operating stable, scalable data flow solutions from production systems into end-user facing applications/reports. These solutions will be fault tolerant, self-healing and adaptive. You will implement data analytics using cutting edge analytics patterns and technologies that are inclusive of but not limited to various AWS Offerings -EMR, Lambda, Kinesis, Redshift and Spectrum. You should be detail-oriented and must have an aptitude for solving unstructured problems. You should work in a self-directed environment, own tasks and drive them to completion.
You should have excellent business and communication skills to be able to work with business owners to develop and define key business questions and to build data sets that answer those questions. You own customer relationship about data and execute tasks that are manifestations of such ownership, like ensuring high data availability, low latency, documenting data details and transformations and handling user notifications and training.


Basic Qualifications

· 10+ years of experience as an analyst, BIE, data scientist in the data/BI space
· 5+ years of hand-on experience with multiple analytics framework development platforms such as R, Python, SQL, AWS Services etc.
· Experience managing a data or BI team
· Experience leading and influencing the BI strategy of your team or organization
· Experience working directly with business stakeholders to translate between data and business needs
· Experience with data visualization using Tableau, Quicksight, or similar tools



Preferred Qualifications

· Bachelor's degree in Math/Statistics/Engineering or other equivalent quantitative discipline.
· MBA or Masters in Math/Statistics/Engineering
· 8+ years in relevant experience as data scientist, software engineer, business intelligence engineer, or equivalent.
· Advanced knowledge of SQL, shell scripting, Python/R, and MS excel.
· Exposure to statistical modeling, data science and machine learning techniques
· Strong active listener with solid written and verbal communication skills.
· Proven ability to work cross-functionally and delivering automated solutions for customer-facing data science problems.
· Ability to work cross-functionally, building and maintaining trust with internal stakeholders.
· Strong understanding of BI technologies and their application including database warehousing and dash-boarding
· Experience on at least one data visualization tools (e.g. OBIEE, Tableau, QlikView)
· Strong verbal/written communication and data presentation skills, including an ability to effectively communicate with both business and technical teams
·",4.2,"Amazon
4.2",Bengaluru,"Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,₹500+ billion (INR),"Google, Microsoft, Walmart"
"Data Scientist, Data Engineer, Deep Learning,","Opening for Data Scientist At Bangalore (Hebbal )

Experience- Min 2 Years
Location - Bangalore (Hebbal )

Role & Responcibility -

2 - 4 years of experience applying ML / Deep Learning algorithms and techniques to real-world data sets
Expert knowledge of Core Python
Proficiency in Machine learning algorithms (SVM, Decision Trees, PCA, Clustering etc.)
Knowledge and Experience of Deep Learning Algorithms (CNN, RNN, LSTM etc.)
Major ML frameworks: TensorFlow, PyTorch, Keras, Scikit-Learn
Strong analytical thinking
Designs scalable processes to collect, manipulate, present, and analyze large datasets in a production-ready environment
Strong written and oral skills (in English)
Demonstrated participation on platforms like Kaggle is a plus
Prefer great appreciation or expertise in Security products such as End point detection, protection and response, Managed detection and response etc
Kindly revert your Opinion
00-6.00 Years",-1,TechPro HR Consultancy,Bengaluru,-1,-1,-1,-1,-1,-1,-1,-1
Staff Research Scientist,"Company Description

FireEye is the leader in intelligence-led security-as-a-service. Working as a seamless, scalable extension of customer security operations, FireEye offers a single platform that blends innovative security technologies, nation-state grade threat intelligence, and world-renowned Mandiant® consulting. With this approach, FireEye eliminates the complexity and burden of cyber security for organizations struggling to prepare for, prevent, and respond to cyber attacks. FireEye has over 7,500 customers across 67 countries, including more than 50 percent of the Forbes Global 2000.
Job Description

We are seeking Sr. Research Scientist with the passion and experience necessary to solve the malware problem across multiple platfrorms including both mobile and desktop. The candidate will work for FireEye’s security research team, which is a group of top notch security researchers specializing in areas from Machine Learning to reverse engineering advanced malware.

Responsibilities:
Perform leading edge malware research, analysis (data-mining) and generate content for use in our products.
Enhance FireEye’s security content infrastructure, process workflow, and the malware intelligence portal.
Run the FireEye’s security content release process, controlling content selection, packaging, and coordination with DEV/QA/Customer-Support teams.
Qualifications

Requirements:
At least 5 years direct or equivalent experience in areas of malware-analysis, software/security-content build/release, networking/system administration or software development
BS/MS in computer science or equivalent experience
Knowledge in Malware Analysis and Reverse Engineering
Proficiency with network traffic analysis tools such as wireshark and tcpdump
Knowledge in Security and Malware detection technologies
Solid programming skills with scripting languages such as Perl or Python is required
Working knowledge of databases such as Postgres or MySQL
Working knowledge of Rapid Web development frameworks/languages and environments such as PHP etc
Deep working knowledge of networking concepts: TCP/IP, HTTP, HTTPS, FTP, IRC, RPC, DNS etc
Host based IDS/IPS knowledge and experience a definite plus
Additional Qualifications:
Strong problem solving, troubleshooting and analysis skills
Experience working in fast-paced development environments
Excellent written & verbal communication skills
Excellent inter-personal and teamwork skills
Self-driven, proactive, hardworking, team-player with a good sense of humor",3.2,"FireEye, Inc.
3.2",Bengaluru,"Milpitas, CA",1001 to 5000 employees,2004,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"Palo Alto Networks, Tanium"
Data Scientist / Senior Data Scientist,"Position Summary

NextNav is launching a groundbreaking location service for smartphones, IOT, and other devices – an ability to determine floor level altitude service across the country – a capability that does not exist at scale anywhere today! No longer constrained by legacy “flat earth” technologies, applications and users will be able to determine floor-level altitude, which is essential for navigation, user context and relevancy and many other applications that are used indoors.

This position will consist of building tools to aid with alerting of our system, developing real-time metrics of our end-to-end network performance, and calibration quality at all levels. The position will also develop models to aid in our end-to-end system, including calibration and forecasting, as well as applying machine learning and deep learning algorithms.

Responsibilities

·Develop algorithms to further improve the accuracy of NextNav's Z-axis solution.

·Efficiently clean, prune, fix, prepare, process and analyze network and field data.

·Create and develop machine learning algorithms to help aid in positioning and calibration of devices and network.

·Develop strong domain expertise with atmospheric science.

·Interpret data and guide company to maximal benefit.

Desired Skills& Experience

Required:

·Bachelor's degree with 2-3 years’ experience, orMaster's/PhDin engineering disciplines such as mechanical engineering, electrical engineering, or sciences such as mathematics, statistics, computer science, physics, or another closely related field, with research emphasis on data modelling and analysis.

·Solid foundation in statistics and data processing, including data reduction, regression, automation and visualization.

·Strong scientific coding skills, including proficiency in one or more of the following: Python, R, MatLab, SQL, etc. Expertise with object-oriented languages such as Java or C++ a bonus.

·Familiarity with machine learning and deep learning framework applied to real world problems.

·Ability to work independently and collaboratively across multiple departments, including hardware and software.

·Strong written and oral communication skills, with the ability to communicate clearly and effectively across teams.

Preferred:

·Experience in performing analysis of large data sets by exploiting parallel computing infrastructure.
1-2 years’ experience with machine learning and deep learning framework, including scikit-learn, Tensor Flow, or PyTorch.
·Experience in providing data support for internal and external engagements for trials and demos.

·Demonstrated experience as a problem solver and a data analyst of a variety of gridded and point weather data.

·Experience with driving projects across all stages, including ideation, testing, and marketing.

·Track record of source code contribution to open source projects.",3.2,"NextNav
3.2",Bengaluru,"Sunnyvale, CA",51 to 200 employees,2007,Company - Private,Enterprise Software & Network Solutions,Information Technology,₹1 to ₹5 billion (INR),-1
"Principal Engineer - Computer vision, opencv,Tensorflow","Description:

Join us as a PRINCIPAL ENGINEER Computer Vision

Similar Industry Titles and Key Words: Video analytics, AI, Deep learning, machine learning

About Vision computing platform Our mission is to provide core capabilities in vision computing and machine learning. We want to enable unparalleled guest experience by deriving insights from structured data and unstructured content (videos, images and documents) using vision computing and machine learning platform and capabilities. The platform will provide end to end ubiquitous experience including acquiring, processing, analyzing and understanding content and extraction of high-dimensional data in order to produce numerical or symbolic information, e.g., in the form of decisions. Machine learning platform would enable ML developers to focus on writing efficient ML models solving business problems and train/ deploy/ manage with minimal effort.

About the Role

The key to the success of this position is having strong & innovative approach to problem solving, great technical leadership, excellent communication (written and verbal, formal and informal), flexibility, and a self-motivated working style with attention to detail.

Use your skills, experience and talents to be a part of groundbreaking thinking and visionary goals. As a Principal Engineer, youll take the lead as you
Manage in the decision-making process related to the selection of technology framework, architecture and end-end stack for building machine & deep learning based vision apps.
Design and develop vision based apps to handle the enterprise scale, provide consultation and lead implementation of ideas on complex problems.
Partner with various in-house teams and vendors in designing and productizing algorithms and ML models across different type of infrastructure (datacenter, edge, far edge compute infrastructure)
Implement complex technical problems in retail business setting.
Keep abreast of industrial and academic research. mentor and train engineers/data scientists.
Curious to learn from the industry, follow emerging trends from established enterprises and startup ecosystem and continuously innovate and drive POCs/ POTs.
Focus on scale and performance with the need to optimize and execute for realtime needs.
Engages in development/ operations and with engineering team
Work with engineering leaders in building a high performing engineering team and talent
Mentor and build a high performing full stack engineering team
Provides leadership, coaching, motivation and assistance to team
Participates in the selection and assessment of technical talent in the organization to identify and develop technical leadership backups. Help in hiring and building team
Engages in external tech community (writing blogs, contributing to open source, present in meetups/ conferences, etc)
Provide strong leadership and communication skills and use broad technical knowledge that draws upon diverse experiences.
Requirements
PhD in computer science/electronics engineering with a research focus on computer vision.
Over 12+ years of industry experience in building software application with min 2 yrs in computer vision. Image processing/ ML
4-5 years of hands-on experience in machine and deep learning techniques.
Strong math background and a proven ability to design computationally intensive algorithms from scratch.
Proficient in one or more of Python, C++, Java, Scala or equivalent programing languages. Fluency in machine/deep learning frameworks (e.g. Tensorflow, pyTorch, scikit-learn, opencv).
Deployed large scale deep learning models/algorithms in prior experience.
Hands on experience in deep learning neural networks like CNN, RNN for object detection/recognition/tracking/classification and optimization for targeted infrastructure.
Experience in data related technologies and open source frameworks preferred.
Experience in real-time video analytics pipeline.
Familiar with software development practices/pipelines (DevOps - kubernetes, docker containers, CI/CD tools).
Qualifications:",3.8,"Target
3.8",Bengaluru,"Minneapolis, MN",10000+ employees,1962,Company - Public,General Merchandise & Superstores,Retail,₹500+ billion (INR),-1
Software Development Manager,"Software Development Manager - ML, Selection Monitoring

Amazons Selection Monitoring team has an opportunity for you. The Selection Monitoring team is responsible for making the biggest catalog on the planet even bigger. In order to drive expansion of the Amazon catalog, we use web mining and cluster-computing technologies like MapReduce, Spark and Hive to process billions of products and algorithmically find products not already sold on Amazon. We work with structured and unstructured content such as text and images and apply machine-learning algorithms, such as classification, natural language and image processing.

We are looking for a Software Development Manager (SDM) to tackle difficult problems in the areas of information retrieval, data science and distributed systems of cloud-scale. This is a tremendous opportunity for SDMs who want to lead and grow a team of talented SDEs and Scientists to build a reliable and scalable solution to enhance selection for Amazon's customers.


Basic Qualifications

Successful candidates will have the following:

· Experience in leading a software development and data science teams.
· Passion for building a strong Engineering culture.
· Experience in delivering reliable and scalable solutions for both internal and external customers on time with high quality.
· Strong knowledge of software development methodologies and practices.
· Solid programming skills and a deep understanding of object oriented design.
· A Bachelor's Degree in Computer Science with advanced degrees preferred.
· A minimum of 15+ years of relevant industry experience.
· Experience from international working environment with good command of English language


Preferred Qualifications

Successful candidates will have the following:
· Masters or higher degree preferred in mathematics, computer science, or related discipline
· Experience in designing and implementing information retrieval and web mining systems
· Expertise with data science, machine learning algorithms, natural language processing, and computer vision
- Experience with MapReduce, Spark, Hive and Scala.",4.2,"Amazon
4.2",Bengaluru,"Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,₹500+ billion (INR),"Google, Microsoft, Walmart"
Data Scientist / Data Analyst,"This position will be responsible for Finance Analytics product offerings thereby generate Business Performance Improvement opportunities for the Stake Holders. Our Client is looking for an experienced Senior Data Scientist to join our talented engineering team. As our data guru, you’ll be responsible for analyzing the large data set and making recommendations that will impact major business decisions. They are looking for a proven technical leader that can excel in a fun, fast-moving startup environment and help them elevate their customer experience.

Job Responsibilities

Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
Mine and analyze data from company databases to drive optimization and improvement of sales projections, processes, marketing techniques and business strategies.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Develop custom data models and algorithms to apply to data sets.
Use predictive modelling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.
Develop A/B testing framework and test model quality.
Coordinate with different functional teams to implement models and monitor outcomes.
Develop processes and tools to monitor and analyze model performance and data accuracy.
Develop algorithms and predictive models, create prototype systems and visualizations
Implement and keep models in optimal production state
Strong data & visual presentation skills and ability to explain insights using tools like tableau, D3 charts or other tools.
Experience working with big data tools such as MapReduce, Pig, Spark and NoSQL data will be an add-on
Must have end-end hands-on experience in delivering & implementing data analytics models in production. Must have skills, such as Synthesizing data, defining the problem, feature engineering, building the model, deploying the same in production.
Ability to work closely with others to execute projects rapidly in a multi-disciplinary environment
Demonstrated data science experience in the Sales & Marketing domain with at least 3 to 4 projects delivered end-to-end, Ability to collaborate business and data science.
Strong project management skills, a passion to drive task based processes to successful completion – organized, strong communicator, high-energy and takes initiative
Consultative and collaboration skills; able to influence complex stakeholder communities
Education : Bachelor’s degree in computer science, statistics, engineering and relevant fields,

Experience : with 6+ years of hands-on experience in the following:

Statistical analysis tools such as R, Python, SAS, etc.
Machine learning techniques for classification, regression, clustering, decision trees, text analytics, deep learning & time-series data etc.
Scripting languages such as Python, Perl, Ruby, etc.

Strong communicator written and oral; able to work effectively with remote, global project teams

What You Need for this Position

You should have knowledge of:
Data Science
Data Analyst
SQL
R
Python
SAS
Python
Perl
Ruby
MapReduce
Pig
Spark and NoSQL
Aditional
No. of Positions
3
Education level
Bachelor’s Degree in Computer Science
Career level
Experienced",4.8,"Bloom Consulting Services
4.8",Bengaluru,"Nagpur, India",1 to 50 employees,2015,Company - Private,IT Services,Information Technology,₹10 to ₹50 million (INR),-1
Tech Lead - Data Scientist (NLP),"AI team at Ultria is working on state of the art Natural Language Processing technologies including document structure detection, domain specific neural embeddings, deep neural network architectures for extraction and classification tasks etc. We are looking for a passionate data scientist to develop new statistical models for delivering high-quality NLP products.

RESPONSIBILITIES:
Identify new opportunities to apply Machine Learning to different parts of the product
Develop advanced algorithms to solve problems of high dimensionality in a computationally efficient and statistically effective manner
Have responsibility for the creation and development of our Text Analytics strategy and software
Take end to end ownership of Machine Learning products
Partner with other teams such as Data, Design and Product to collaborate on projects across the company
Work with the engineering management team to develop new initiatives and improve existing processes across the entire engineering team
Implement small and large scale projects in Advanced Analytics to help derive business insights for measurable success
Evaluate emerging datasets and technologies that may contribute to our products
Requirements
3 -7 years of strong Python development experience
3+ years of experience in Machine Learning/Deep Learning, specifically in NLP and text analytics domain including:
Extracting, cleaning and embedding text data
Text classification
Entity extraction/NER
Text summarization
Similarity and sentiment analysis
Topic modelling
Research experience in machine learning or natural language processing
Experience in deploying ML projects in production environment
Strong statistical analysis skills and demonstrated experience in deriving insights from unstructured data
Ability to run experiments scientifically and analyze results
Good understanding of ML tools/libraries like: Tensorflow, Keras, Pandas, Spacy, Pytorch, NLTK, SkLearn etc
Knowledge of big data technologies like Hadoop, Hive, Scala or Spark is preferred
Strong collaborative mindset
Excellent critical thinking and problem solving skills
Benefits

About Ultria

Ultria offers end-to-end, SaaS-deployed, Contract Lifecycle Management solution for the Enterprise—Ultria CLM. It is a market-proven solution with a legacy of successful deployments over more than seven years. With a workflow based authoring and approval tool, and a comprehensive repository of contracts and clauses, Ultria CLM helps companies across the spectrum derive greater value from their contracts. By connecting with eSignature and CRM solutions, Ultria CLM seamlessly streamlines the quote to contract conversion process. Its post-signoff contract management capabilities empower the enterprise to extract the maximum value out of contracts, mitigate risks, and ensure regulatory compliance.

Our Products are built around an intuitive user experience, leveraging a comprehensive knowledge base, robust Artificial Intelligence technology, encapsulates industry's best-of-breed processes and methodologies.

Several of Fortune 500 companies have chosen Ultria solutions for the following reasons:
In-depth industry and domain expertise with a robust implementation methodology
Ability to ensure semantic and structural data integrity and quality
End-to-end solution for Data Governance renowned by leading market Analysts
To know more, you can visit our website: www.ultria.com",4.2,"Ultria
4.2",Bengaluru,"Princeton, NJ",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
"Statistician, 2","About Epsilon:

Positioned at Publicis Groupe's core, Epsilon is a leader in interaction management, empowering brands to transform ordinary customer experiences into meaningful, human experiences. Our connected suite of products and services combine leading-edge identity management, industrial strength data and technology expertise with big brand acumen gained over five decades working with the industry's top brands. Our human-powered, data-led marketing delivers unmatched depth, breadth and scale to help brands turn meaningful human interactions into exceptional business outcomes. For more information, visit www.epsilon.com. Follow us on Twitter at @EpsilonMktg.

Who we are looking for

At Epsilon, our people use real human insights to find solutions that empower some of the biggest brands in the world. Our team is now growing, and we are on the lookout for talented individuals who use descriptive, predictive and prescriptive analytics to impact consumer behavior every day.

So, are you someone who enjoys leading conversations with influential stakeholders to help clients understand the value of their investments? Then you could be exactly who we are looking for.

Apply today and be part of a creative, innovative and talented team who constantly share insights, solve problems and create the remarkable.

SUMMARY:

The Analytic Consulting Group partners with both internal and external clients and data providers, leveraging predictive analytics and advanced statistical techniques to drive strategic thought and effective decision making. The core charter is to develop analytics/machine learning solutions, products using both internal and external data across the customer journey to drive Acquisition, engagement, Retention using advanced Analytics, Machine Learning capabilities and data platforms. The Senior Data Scientist is someone who can rapidly navigate from generating the idea to implementing the solution and has a passion to see own work translated in business results. You will own end-to-end the scope, management and delivery of large-scale projects, with strong focus on customer insights, data quality, automation, process improvement and efficiency.

RESPONSIBILITIES:

• Deliver ML / DL projects from beginning to end, including understanding the business need, aggregating data, exploring data, building & validating predictive models, and deploying completed models to deliver business impact to the organization.

• Helping to build production systems that take inputs from multiple models and make decisions in real/near time

• Improve upon existing methodologies by developing new data sources, testing model enhancements, and fine-tuning model parameters.

• Provide requirements to develop analytic capabilities, platforms, and pipelines.

• Conduct written and verbal presentation to share insights and recommendations to audiences of varying levels of technical sophistication.
BASIC QUALIFICATIONS:

• Master's in quantitative field (Computer Science, Mathematics, Machine Learning, AI, Statistics, or equivalent)

• 5 years of experience in a ML or data scientist role and a track record of building ML or DL models

• In depth knowledge and working experience in statistical and data mining techniques: GLM, Random Forest, Boosting Trees, Neural Network, Text mining, kNN, Clustering

• At least 5 years of experience with data querying languages-SQL, scripting languages-Python

• Ability to write production level code, which is well-written and explainable

• Primary experience with data scripting languages such as Python and SQL,experience using ML libraries, such as scikit-learn, Knowledge and experience of writing and tuning SQL

• Statistical/mathematical software (e.g. R, SAS, or Matlab), Knowledge of SparkML will be an added advantage

• Past and current experience writing and speaking about complex technical concepts to broad audiences in a simplified format

• Experience giving data presentations, Strong written and verbal communication

DESIRABLE QUALIFICATIONS:

• Advanced degree (Master's/PhD) in Statistics, Economics or other quantitative discipline

• Publications or presentation in recognized Machine Learning, Deep Learning and Data Mining journals/conferences will be an added advantage

• Experience with AWS technologies like Redshift, S3, EC2, Data Pipeline, & EMR will be an added advantage, working knowledge of Hadoop, Map-reduce and other big data technologies",3.8,"Epsilon
3.8",Bengaluru,"Irving, TX",5001 to 10000 employees,1969,Subsidiary or Business Segment,Advertising & Marketing,Business Services,₹100 to ₹500 billion (INR),Merkle
Data Scientist/ML Engineer,"About Us: https://paytm.com/about-us/

Why Us:
Looking for a company that encourages passion, courage and imagination, where you can be part of the team crafting the future of payments, ecommerce, and financial services? Want to craft how millions of people transact, buy, sell, connect, and share? If you’re passionate about building large scale recommendation engines, fraud detection, discovery, and joining a purpose driven community that is dedicated to creating an ambitious and inclusive workplace, join Paytm – a company you can be proud to be a part of.

About Team:
The ML team within Paytm provides opportunities to innovate in a fast-paced organization that contributes to game-changing projects and technologies that get deployed on devices and the cloud. As an ML engineer, you'll partner with technology and business teams to build new services that surprise and delight our customers. You will be working with massively large data to solve real-world problems. You'll design and run experiments, research new algorithms, and find new ways of recommendations, optimizing risk, profitability, and customer experience.

We’re looking for top data scientists capable of using ML and other techniques to design, evangelize, and implement state-of-the-art solutions for never-before-solved problems.

Experience Required: 4-8 yrs
Job Location: India

Responsibilities

Use deep learning, machine learning and analytical techniques to create scalable solutions for business problems

Have excellent Programming/Debugging skills in Python/Java/Scala.

Have strong hands-on experience with Hadoop, MapReduce, Hive, Spark, Flink.Design, develop, evaluate, and deploy innovative models for predictive learning, content ranking,
Credit scoring and fraud detection.

Interact with customers directly to understand the business problem, help and aid them in implementation of DL/ML algorithms to solve problems.

Analyze and extract relevant information from large amounts of data to help automate and optimize key processesActively identify new areas where data science can be leveraged across the organization.

Hands on experience building models with frameworks like Tensorflow, Caffe, Theano, etc. The motivation to achieve results in a fast-paced environment.

For more Information please connect on monika1.jain@paytm.com",3.5,"Paytm
3.5",Bengaluru,"Noida, India",1001 to 5000 employees,2010,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
Applied Scientist II,"RBS Tech is committed to support business growth across WW Retail through standardization, simplification and automation. We are developing an automated solution ACE to fix catalog defects. ACE uses Machine Learning/Deep Learning to fix attribute defects identified by Sherlock (auto audit platform) across Amazons selection that will improve customer shopping experiences. The defects are reviewed for validation and fixed, in the process helping the machine to learn.
Last year the team worked on discoverability challenges customers are facing on Amazon properties by backfilling hidden attributes by applying various deep learning techniques and an ensemble of classifiers. This year, we are working on highly ambiguous use cases like size variations problems, expanding the scope of discoverability use cases. All these use cases are ideal candidates to apply various Deep learning techniques.
We are hiring applied scientists who can creatively solve these use cases.
As an Applied Scientist in RBS ACE team, you will work with talented peers to develop novel algorithms and modeling techniques to solve these high impact issues. You will leverage Amazons heterogeneous data sources and large-scale computing resources to accelerate advances in artificial intelligence. You will collaborate with other scientists and work in a fast paced team environment. Your work will directly impact our customer shopping experience, save millions in concessions. You will constantly stretch the boundaries of Machine Learning to tackle business challenges.
If you are customer obsessed, self-driven, tenacious and analytical, you will have fun solving our business problems of unprecedented scale. As an experienced machine learning scientist, you will help research and develop new computer algorithms leveraging both classical and deep learning techniques.

Basic Qualifications

· PhD/Master Degree in Computer Science with experience in Deep Neural Network specialization either in Computer Vision and/or Natural Language Processing.
· 3+ years of hands on experience in building machine learning systems for large data sets.
· Strong skills in problem solving, programming and computer science fundamentals.
· Expertise in using Python programming language.
· Well versed in DeepLearning Frameworks like Tensorflow, MXNet or alternatively front ends like Keras along with numpy, pandas and scikit-learn

Preferred Qualifications

· PhDs, specialized in Information Retrieval and Machine Learning.
· Experience in designing and implementing information retrieval, web mining systems using Deep Learning and Neural Networks.
· Big thinker that can take broad visions and concepts and develop structured plans, actions and measurable metrics and then execute those plans.",4.2,"Amazon
4.2",Bengaluru,"Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,₹500+ billion (INR),"Google, Microsoft, Walmart"
"Data Scientist (Only from IIT, NIT,IIIT,IIM,VIT,BIT)","About Zycus :

Headquartered in Princeton, U.S. in 1998, Zycus has grown every day to be established as an organization which now is a leading global provider of complete Source-to-Pay suite of procurement performance solutions.

We develop cloud-based (SaaS) Source-to-Pay solutions for large global enterprises, and have successfully deployed about 200 solutions to over 1000 Global clients. We are proud to have as our clients, some of the best-of- breed companies across verticals like Manufacturing, Automotives, Banking and Finance, Oil and Gas, Food Processing, Electronics, Telecommunications, Chemicals, Health and Pharma, Education and more.

With a team of 1000+employees, we are present in India with 3 development centers at Bengaluru, Mumbai & Pune and offices in the U.S., U.K., Australia, Dubai, Netherlands and Singapore.

Know more about the LEADER of: Gartner’s 2013, 2015 & 2017 Magic Quadrant for Strategic Sourcing Application Suites and The Forrester Wave™: eProcurement, Q2 2017

We are in process of launching Merlin A.I. Studio™.

The artificial intelligence (AI)-based platform will allow procurement teams to to build and deploy bots across the source-to-pay process.

The bots will be used by firms leveraging more than 1,100 APIs from Zycus’ solution suite.

“By deploying the intelligent bots from Merlin A.I. Studio™, procurement can put themselves in cruise control mode as the bots work towards accomplishing tasks with zero human intervention,” The Fortune 500-serving firm explained in its press release

“Be it running an RFI event, discovering contract risks, negotiating with suppliers or transnational procurement; all one needs to do is launch the bot and see the magic unfold.”

“It will empower procurement to transform their routine, repetitive & mundane procurement tasks, so that time, effort & resources can be optimized towards more strategic initiatives.”Exp : 1 to 10 Years

Role : Data Scientist

Location : Bangalore

Drive Timings : 9 AM to 2.00 PM

Education : Any Engineering From IIT ,NIT , IIIT ,VIT , BITS Pilani

Venue Details :

ZYCUS INFOTECH PRIVATE LIMITED

SEZ UNIT,6TH FLOOR,GARNET Building,

Bagmane Developers Pvt Ltd SEZ II,

Bagmane World Technology Centre SEZ,

Mahadevapura,Outer ring Road,

KR Puram Hobli, Bengaluru (Bangalore) Urban,

Karnataka, 560048

Contact Person : Priyanka

Contact Number : 7899408877

Please carry your original ID proof along with Hard Copy of Resume

Requirements

We are especially looking for applicants with a strong background in Analytics and Data mining (Web, Social and Big data), Machine Learning and Pattern Recognition, Natural Language Processing and Computational Linguistics, Statistical Modelling and Inferencing, Information Retrieval, Large Scale Distributed Systems and Cloud Computing, Econometrics and Quantitative Marketing, Applied Game Theory and Mechanism Design, Operations Research and Optimization, Human Computer Interaction and Information Visualization. Applicants with a background in other quantitative areas are also encouraged to apply. If you are passionate about research and developing innovative technologies of interest to Zycus and the research community at large, the BigData Experience Lab may be the right place for you.

All successful candidates are expected to dive deep into problem areas of Zycus’s interest and invent technology solutions to not only advance the current products, but also to generate new product options that can strategically advantage Zycus

Skills
Master’s or Ph.D. in statistics, mathematics, or computer science
Only from Tier 1 Colleges
Experience using statistical computer languages such as R, Python, SQL, etc.
Experience in statistical and data mining techniques, including generalized linear model/regression, random forest, boosting, trees, text mining, social network analysis
Experience working with and creating data architectures
Knowledge of machine learning techniques such as clustering, decision tree learning, and artificial neural networks
Knowledge of advanced statistical techniques and concepts, including regression, properties of distributions, and statistical tests
1- 10 years of experience manipulating data sets and building statistical models
Experience using web services: Redshift, S3, Spark, DigitalOcean, etc.
Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.
Experience visualizing/presenting data.
Data Scientist will report in to Director Engineering - Data Scentist & the roles & responsibilities are as below:
Work as the data strategist, identifying and integrating new datasets that can be leveraged through our product capabilities and work closely with the engineering team to strategize and execute the development of data products
Execute analytical experiments methodically to help solve various problems and make a true impact across various domains and industries
Identify relevant data sources and sets to mine for client business needs, and collect large structured and unstructured datasets and variables
Devise and utilize algorithms and models to mine big data stores, perform data and error analysis to improve models, and clean and validate data for uniformity and accuracy
Analyze data for trends and patterns, and Interpret data with a clear objective in mind
Implement analytical models into production by collaborating with software developers and machine learning engineers.
Communicate analytic solutions to stakeholders and implement improvements as needed to operational systems
Benefits

Along with a competitive compensation structure, Zycus believes in an open culture learning environment, where everyone gets a chance to share their ideas and deliver par excellence. Here's a sneak peek to our life at Zycus.",3.4,"Zycus
3.4",Bengaluru,"Princeton, NJ",501 to 1000 employees,1998,Company - Private,Computer Hardware & Software,Information Technology,₹500 million to ₹1 billion (INR),"SAP Ariba, GEP, Coupa Software Inc"
